index,file,obj_id,class,xmax,xmin,ymax,ymin
541,2009_001801,2,person,173,146,192,104
543,2011_003111,0,aeroplane,500,1,333,105
544,2010_004216,1,person,335,1,373,149
545,2010_003592,0,aeroplane,284,198,172,119
546,2010_002854,0,bird,376,305,153,89
547,2010_002854,1,bird,236,152,296,32
548,2010_002854,2,bird,156,65,375,261
555,2008_002753,1,person,260,175,500,203
567,2011_002582,0,bird,361,1,388,105
572,2008_000636,2,sofa,320,1,426,136
578,2011_006928,0,person,253,100,321,28
579,2012_003453,0,person,346,246,277,149
594,2012_002765,2,person,115,94,227,184
600,2011_004871,0,person,231,2,377,4
601,2008_008524,1,sofa,190,1,332,155
608,2008_008524,8,person,207,171,176,79
614,2008_008524,14,person,418,330,315,198
615,2008_008524,15,person,352,263,322,195
619,2008_008524,19,person,154,81,227,132
624,2008_007171,2,person,26,1,122,53
625,2008_008242,0,bird,348,1,500,58
627,2008_002009,0,person,328,139,375,161
640,2008_001514,0,bird,391,129,262,66
641,2010_005875,2,person,412,315,289,126
652,2008_008257,0,bird,280,1,375,144
664,2009_000505,4,sofa,500,2,333,28
670,2011_004870,0,person,275,250,236,188
671,2011_004870,1,person,287,262,238,191
677,2010_000918,0,bird,147,80,117,50
696,2009_002448,0,aeroplane,333,18,383,101
697,2008_005997,0,bird,223,137,230,128
699,2008_001529,1,person,185,168,242,209
704,2008_000151,0,aeroplane,275,244,261,225
711,2011_001920,1,person,188,1,315,44
714,2010_001390,2,sofa,500,1,305,1
717,2009_004993,0,sofa,407,113,373,145
726,2008_008519,0,aeroplane,487,17,250,119
734,2010_005684,1,person,332,200,272,12
737,2010_000717,1,person,259,177,206,74
740,2011_002568,0,bird,273,117,231,134
741,2011_002568,1,bird,355,254,245,140
742,2008_008294,0,aeroplane,323,125,271,75
744,2010_002666,0,bird,339,216,253,130
747,2008_002961,0,bird,429,237,317,71
748,2008_002961,1,bird,217,143,345,121
752,2011_001713,2,sofa,500,253,375,150
753,2007_005074,7,bird,472,419,297,260
754,2008_000804,0,aeroplane,466,60,296,98
756,2011_003662,1,person,494,398,416,115
759,2009_003965,0,sofa,500,1,323,63
768,2011_002554,4,sofa,500,198,375,233
770,2011_003892,0,person,372,133,375,77
771,2008_005954,9,sofa,500,443,250,174
772,2008_004492,0,sofa,477,45,240,85
776,2007_002055,2,sofa,275,2,374,220
784,2009_003795,11,sofa,300,26,296,146
787,2009_004944,0,aeroplane,494,9,273,82
789,2008_000192,0,bird,441,249,246,57
790,2012_001286,0,person,319,101,375,40
802,2009_000288,3,person,500,467,178,32
805,2010_004559,0,bird,450,1,323,28
834,2008_006078,1,sofa,405,1,375,230
841,2011_002971,1,sofa,336,232,293,96
845,2011_002971,5,person,394,323,301,86
848,2011_002965,0,sofa,474,14,355,15
863,2010_001192,0,sofa,500,1,375,1
874,2009_001343,1,sofa,435,319,247,105
875,2009_001343,2,sofa,232,34,312,171
888,2011_000182,0,sofa,499,1,374,105
892,2009_005131,0,bird,320,23,333,84
894,2008_003128,1,person,214,1,369,1
897,2008_002236,2,person,156,67,375,141
905,2008_000421,3,sofa,446,1,375,141
907,2009_001357,1,sofa,100,1,260,178
919,2011_000828,1,sofa,477,1,380,223
922,2011_000828,5,person,500,301,380,155
923,2011_000828,6,person,143,31,236,1
931,2011_001505,0,bird,321,55,374,52
936,2008_008096,0,aeroplane,500,9,299,119
947,2011_001263,0,aeroplane,392,185,105,39
948,2011_001263,1,aeroplane,128,31,305,270
949,2011_001263,2,aeroplane,416,373,300,282
951,2011_001277,0,sofa,375,1,499,111
970,2008_004690,0,bird,289,233,329,121
971,2008_004690,1,bird,500,446,255,147
974,2011_002756,1,sofa,500,107,375,109
984,2008_006087,4,person,457,428,303,180
1000,2011_004455,0,person,295,129,463,302
1016,2008_000569,1,person,327,250,364,78
1027,2010_003801,0,aeroplane,464,1,304,103
1028,2010_003801,1,aeroplane,500,167,203,1
1029,2010_003801,2,aeroplane,500,320,117,1
1033,2009_004429,5,person,361,264,226,110
1035,2011_000790,0,aeroplane,432,67,265,30
1048,2008_000541,4,sofa,416,1,375,169
1051,2010_002289,0,aeroplane,296,19,220,126
1061,2009_005045,0,person,271,8,375,130
1074,2011_002193,0,aeroplane,447,127,190,72
1084,2011_001471,0,bird,314,217,177,90
1087,2011_005617,0,person,369,248,318,191
1095,2010_002510,1,sofa,500,1,375,1
1099,2010_003168,0,bird,284,74,176,51
1100,2010_003168,1,bird,258,171,253,193
1144,2010_001743,3,sofa,309,80,291,145
1148,2010_005531,0,bird,263,151,382,166
1161,2011_007028,1,person,143,1,163,43
1168,2008_001461,2,sofa,189,1,288,91
1170,2009_000317,0,bird,500,32,379,5
1171,2008_007010,1,sofa,500,435,333,188
1184,2012_001319,0,person,347,196,221,75
1187,2009_002272,0,aeroplane,431,52,223,68
1193,2009_004165,0,sofa,267,36,334,218
1200,2010_003395,0,bird,177,99,336,201
1201,2008_008479,0,aeroplane,500,23,375,1
1207,2010_002935,0,bird,388,106,144,57
1208,2011_000592,0,aeroplane,456,26,241,84
1212,2011_000586,0,aeroplane,483,48,364,65
1213,2011_000586,1,aeroplane,393,36,148,1
1232,2011_002391,2,sofa,500,250,375,291
1233,2010_005096,0,bird,321,1,290,53
1236,2011_004086,0,person,500,470,218,137
1245,2009_001021,3,sofa,375,216,500,275
1254,2008_007038,8,person,402,391,79,57
1263,2009_005247,0,person,230,149,203,28
1270,2009_003805,0,aeroplane,374,113,228,153
1273,2007_003565,0,bird,500,280,317,218
1280,2008_002801,3,sofa,471,1,375,114
1281,2010_000111,0,aeroplane,432,28,212,57
1282,2010_000111,1,aeroplane,484,403,199,181
1283,2010_003418,0,bird,322,158,267,32
1296,2010_001569,0,bird,306,182,305,6
1302,2010_004439,1,person,213,175,302,233
1332,2011_002346,0,aeroplane,487,8,183,13
1335,2008_006483,5,person,380,368,213,192
1341,2012_003297,0,person,295,5,500,10
1342,2008_005834,0,aeroplane,474,1,261,127
1346,2010_005733,1,person,229,136,193,6
1352,2011_001895,0,sofa,500,1,375,141
1357,2008_002195,0,aeroplane,440,373,44,10
1358,2008_002195,1,aeroplane,338,277,40,10
1359,2008_002195,2,aeroplane,252,197,36,11
1360,2008_002195,3,aeroplane,151,87,39,7
1361,2008_002195,4,aeroplane,110,40,45,1
1363,2010_000885,0,aeroplane,466,96,123,3
1364,2010_000885,1,aeroplane,292,105,199,165
1365,2010_000885,2,aeroplane,240,146,234,214
1366,2010_005725,0,bird,423,168,376,100
1372,2011_002436,0,sofa,500,1,375,34
1396,2008_004296,0,bird,301,35,408,31
1398,2008_006481,0,bird,229,200,137,61
1409,2010_002710,0,sofa,387,84,337,191
1413,2011_001117,0,bird,227,52,461,202
1414,2011_001117,1,bird,358,144,338,181
1415,2011_001117,2,bird,312,265,212,180
1416,2011_001117,3,bird,162,59,290,207
1417,2011_001117,4,bird,27,1,153,128
1418,2011_001117,5,bird,98,50,64,37
1419,2011_001117,6,bird,375,342,14,1
1423,2008_000972,1,sofa,500,1,375,24
1429,2008_008490,0,bird,232,132,127,51
1430,2008_008490,1,bird,304,181,212,126
1436,2009_002258,0,aeroplane,482,20,214,102
1437,2011_001856,0,sofa,407,274,322,174
1438,2011_001856,3,sofa,227,1,375,227
1441,2008_007990,1,person,253,157,300,73
1444,2009_001751,0,bird,279,136,284,168
1445,2012_000993,0,person,292,137,293,30
1456,2008_008309,0,bird,238,17,201,107
1457,2008_008309,1,bird,481,363,303,241
1460,2008_000033,0,aeroplane,476,104,257,61
1472,2008_002624,0,bird,327,244,150,67
1474,2008_008447,0,bird,379,66,474,109
1475,2008_008447,1,bird,132,1,500,374
1477,2009_002264,0,bird,370,179,319,150
1479,2012_001469,0,person,301,75,338,45
1482,2008_005611,0,aeroplane,500,1,388,5
1483,2008_005611,1,aeroplane,109,41,152,133
1484,2011_006877,0,person,378,71,316,4
1485,2009_003608,0,aeroplane,460,134,224,74
1486,2009_005279,1,person,478,455,282,219
1490,2008_004269,0,sofa,500,1,375,6
1493,2009_004601,0,aeroplane,492,9,221,86
1494,2009_004601,1,aeroplane,231,161,152,125
1497,2010_003156,0,person,360,343,231,198
1507,2011_000037,1,sofa,422,314,346,200
1508,2011_000037,2,sofa,195,103,276,187
1509,2007_004988,0,aeroplane,500,2,306,14
1512,2009_002099,0,aeroplane,500,1,290,36
1515,2009_000856,1,person,305,225,306,68
1539,2011_004245,0,person,413,292,278,96
1545,2011_001315,0,aeroplane,492,16,289,129
1553,2011_001473,0,person,311,1,310,21
1563,2010_003618,0,person,257,60,500,1
1567,2007_008142,0,person,253,189,229,73
1568,2010_000477,0,aeroplane,488,11,228,18
1572,2012_003040,0,person,250,162,251,84
1587,2009_001221,0,bird,373,68,273,104
1588,2009_001221,1,bird,500,415,149,1
1592,2009_004359,2,person,220,55,345,45
1596,2010_001966,1,person,162,145,273,239
1606,2009_003378,0,bird,424,220,456,34
1617,2012_000207,0,person,349,1,375,13
1622,2009_002072,0,bird,342,99,241,88
1624,2009_002714,0,aeroplane,317,84,236,146
1628,2009_000103,0,bird,275,152,457,87
1631,2008_006085,0,aeroplane,485,1,241,91
1658,2009_004588,0,sofa,500,1,337,126
1660,2009_003581,0,sofa,311,1,472,237
1672,2012_001910,0,person,429,8,375,20
1673,2010_004765,0,sofa,500,1,332,11
1681,2009_002890,0,bird,342,134,185,76
1686,2009_005127,0,aeroplane,261,10,257,162
1687,2009_005127,1,aeroplane,391,305,248,211
1695,2008_004137,2,person,389,267,375,116
1699,2011_007189,1,person,107,42,314,103
1705,2008_003894,0,bird,459,36,278,82
1715,2012_001737,1,person,131,46,265,74
1724,2011_000194,2,person,438,1,288,32
1725,2008_008057,0,bird,190,136,391,243
1734,2008_005573,0,aeroplane,453,412,281,259
1735,2009_002674,0,aeroplane,493,11,231,51
1750,2008_005567,1,sofa,414,75,375,211
1751,2008_002208,0,bird,299,264,200,153
1752,2008_002208,1,bird,264,207,203,173
1753,2008_002208,2,bird,217,184,191,148
1754,2008_002208,3,bird,106,84,228,195
1755,2008_002208,4,bird,160,129,195,143
1756,2008_002208,5,bird,181,152,192,156
1757,2010_001806,0,bird,349,86,273,90
1759,2008_008043,0,aeroplane,500,329,201,11
1765,2008_007827,5,person,450,410,258,184
1767,2007_007649,0,person,500,175,375,2
1769,2011_002230,0,bird,317,1,375,159
1771,2010_003546,0,bird,333,122,375,128
1772,2010_002880,1,person,311,161,351,168
1774,2009_004946,0,bird,224,1,500,60
1775,2011_001739,0,sofa,499,2,364,93
1776,2011_000427,1,sofa,53,2,209,174
1778,2011_000427,3,person,329,144,250,54
1785,2010_006358,0,person,287,141,270,68
1786,2011_000341,0,person,424,303,263,47
1787,2007_003349,0,bird,327,88,289,55
1788,2008_005956,0,bird,206,50,292,149
1798,2011_002556,10,person,271,233,248,194
1800,2011_002556,12,person,223,201,215,177
1807,2010_005651,0,bird,332,152,327,107
1828,2012_001290,1,person,397,299,347,112
1835,2010_000715,0,aeroplane,500,15,265,61
1842,2010_004201,0,bird,265,172,271,218
1843,2010_004201,1,bird,321,229,288,238
1848,2008_002977,1,aeroplane,494,1,375,1
1851,2011_001922,0,sofa,246,1,295,148
1854,2011_006095,0,person,441,335,221,88
1860,2010_005692,0,sofa,453,42,374,151
1865,2007_002094,0,bird,335,72,331,1
1872,2008_006250,1,person,293,181,360,156
1875,2009_001631,0,sofa,176,1,269,152
1901,2008_002988,1,sofa,500,1,358,114
1907,2008_004321,8,sofa,312,61,333,175
1919,2008_007166,2,sofa,107,1,325,200
1924,2008_003472,0,sofa,315,1,375,214
1930,2009_000513,0,aeroplane,490,11,222,123
1933,2008_001264,0,bird,233,162,226,156
1935,2008_008526,0,sofa,500,1,375,152
1937,2008_008526,3,person,500,234,375,141
1951,2010_005877,0,aeroplane,446,115,202,96
1953,2008_008254,0,aeroplane,452,96,341,225
1954,2008_001516,0,person,293,250,314,281
1960,2009_000260,0,aeroplane,485,1,226,133
1961,2012_000602,0,person,404,354,258,188
1974,2008_002037,1,person,313,142,237,17
1997,2008_007629,0,aeroplane,348,183,198,150
1998,2008_007629,1,aeroplane,255,161,196,169
1999,2008_007629,2,aeroplane,500,461,215,192
2000,2008_007629,3,aeroplane,421,1,302,214
2003,2009_003033,0,aeroplane,433,106,209,116
2006,2008_002023,1,person,500,438,306,133
2007,2008_004452,0,bird,297,211,204,114
2008,2011_002594,4,sofa,414,29,239,32
2009,2008_008268,0,bird,173,39,114,43
2010,2008_008268,1,bird,402,308,155,62
2011,2008_008268,2,bird,466,354,315,237
2015,2009_003966,0,sofa,369,1,375,157
2016,2009_003966,1,sofa,304,73,218,82
2029,2010_006365,1,person,290,167,423,99
2040,2009_001195,0,aeroplane,500,1,270,1
2054,2010_002659,1,sofa,277,1,181,1
2056,2010_005888,0,aeroplane,281,126,280,136
2073,2009_003219,0,aeroplane,496,18,300,76
2082,2008_001066,3,person,103,56,300,189
2112,2008_008718,3,person,105,16,439,284
2116,2011_004495,0,person,309,163,333,81
2124,2012_002559,0,person,183,36,267,34
2136,2007_000480,3,aeroplane,486,2,325,68
2151,2008_002221,0,aeroplane,381,121,254,125
2160,2008_000350,0,bird,479,155,405,42
2161,2008_000350,1,bird,181,14,500,170
2168,2010_006615,0,person,178,121,348,204
2171,2010_000502,0,bird,257,206,143,89
2177,2010_004770,1,sofa,500,1,375,2
2180,2007_001761,0,aeroplane,500,27,273,87
2189,2007_002268,2,sofa,493,6,375,188
2191,2010_000270,0,aeroplane,465,16,299,22
2196,2011_000630,0,sofa,225,1,356,164
2201,2008_003856,0,person,340,96,375,125
2202,2008_003856,1,aeroplane,71,20,188,177
2205,2008_002590,1,person,125,29,375,163
2206,2010_005320,0,bird,300,56,337,23
2213,2009_000937,0,sofa,491,221,226,79
2214,2009_000937,1,sofa,210,10,210,82
2215,2009_001397,0,bird,180,78,384,79
2216,2008_006090,0,bird,400,126,263,133
2235,2009_003594,3,person,155,90,476,346
2236,2011_000142,0,sofa,486,99,325,125
2241,2010_004994,0,bird,167,42,343,86
2242,2010_004994,1,bird,340,217,375,102
2243,2010_004994,2,bird,487,371,375,109
2244,2010_005452,1,bird,230,155,144,45
2272,2007_004143,0,bird,441,146,351,68
2274,2009_004402,0,aeroplane,258,109,334,94
2277,2009_000664,0,bird,307,175,373,71
2278,2009_000664,1,bird,183,32,492,147
2280,2008_007205,0,bird,116,29,300,149
2281,2008_007205,1,bird,484,215,270,42
2282,2008_007205,2,bird,334,133,297,98
2283,2008_007205,3,bird,207,136,299,180
2287,2008_003063,2,sofa,356,1,500,359
2289,2008_002369,0,bird,161,42,491,187
2293,2008_007211,0,aeroplane,425,56,231,84
2294,2009_001208,0,bird,378,251,313,163
2295,2008_001660,0,sofa,500,1,371,61
2301,2010_003816,0,aeroplane,498,4,155,27
2324,2011_000787,0,person,329,199,368,129
2326,2008_004730,0,bird,215,66,462,89
2336,2008_004042,0,bird,220,1,220,80
2338,2011_000793,0,aeroplane,482,1,326,1
2339,2011_000793,1,aeroplane,494,409,240,218
2342,2011_002184,0,sofa,500,9,364,63
2344,2010_005268,0,aeroplane,455,36,275,34
2346,2011_001466,3,sofa,97,1,371,228
2347,2012_003914,0,person,352,49,375,55
2349,2008_004917,0,aeroplane,494,3,214,74
2350,2008_004917,1,aeroplane,58,1,171,124
2355,2010_000462,0,person,257,157,328,142
2370,2010_005532,3,sofa,445,1,360,137
2373,2012_001681,0,person,409,297,282,52
2376,2010_003143,0,sofa,188,1,268,158
2384,2012_003096,0,person,171,23,281,115
2387,2011_003259,0,sofa,500,88,375,157
2396,2009_002098,10,person,379,350,205,177
2400,2008_003261,0,aeroplane,490,17,223,68
2406,2009_000300,1,sofa,500,94,209,1
2421,2008_008446,0,aeroplane,310,241,160,78
2426,2007_008396,1,person,500,205,344,2
2428,2007_009088,0,bird,459,203,375,3
2431,2008_003275,1,aeroplane,356,290,273,245
2436,2008_004532,0,aeroplane,156,81,52,17
2437,2008_004532,1,aeroplane,500,129,273,117
2439,2009_003635,0,aeroplane,496,9,274,59
2441,2009_003153,0,aeroplane,489,15,247,80
2449,2008_001338,1,person,368,266,333,68
2451,2009_003147,0,aeroplane,499,167,203,73
2452,2009_003147,1,aeroplane,293,101,197,78
2453,2009_003147,2,aeroplane,208,43,191,81
2454,2009_003147,3,aeroplane,162,1,186,87
2458,2008_003249,3,person,256,182,277,91
2462,2008_006331,3,person,256,131,374,95
2466,2011_003926,0,person,414,322,99,3
2483,2009_003806,0,aeroplane,486,29,214,86
2487,2010_005718,2,aeroplane,498,80,246,128
2497,2011_004720,0,person,341,52,333,52
2498,2011_004720,1,person,500,301,333,19
2499,2010_004348,3,bird,250,229,118,103
2502,2011_001880,0,aeroplane,500,324,169,1
2503,2011_001880,1,aeroplane,500,83,300,114
2507,2008_000783,1,person,363,244,218,17
2519,2011_001674,0,sofa,500,1,500,280
2541,2010_000658,3,sofa,500,405,375,103
2548,2011_005348,1,person,318,196,375,42
2559,2010_004358,0,sofa,500,72,375,128
2561,2010_005046,1,person,238,23,362,66
2566,2009_004823,0,sofa,500,331,375,270
2567,2008_007942,0,person,400,318,214,81
2568,2011_004724,0,person,266,193,221,57
2569,2010_005734,0,sofa,195,1,300,169
2573,2012_001487,0,person,294,143,375,139
2575,2010_001552,0,aeroplane,500,1,314,1
2579,2011_000224,0,sofa,500,286,375,116
2580,2011_000224,1,sofa,309,1,259,104
2584,2008_003271,1,sofa,500,23,375,48
2593,2008_001466,1,person,148,1,290,82
2610,2008_005172,1,person,205,37,231,72
2615,2008_007003,0,bird,356,99,321,7
2627,2008_006447,0,bird,288,102,364,44
2633,2009_003157,3,sofa,327,254,256,176
2638,2009_005240,1,sofa,500,217,375,169
2666,2007_004769,3,person,413,354,313,237
2675,2011_001304,2,sofa,299,163,207,104
2676,2011_001304,3,sofa,486,310,203,111
2679,2011_003275,0,aeroplane,448,42,282,50
2685,2009_001595,0,aeroplane,480,18,167,11
2688,2008_000585,0,aeroplane,499,1,375,5
2693,2010_001988,0,bird,340,67,235,1
2694,2011_004240,0,person,367,183,280,26
2697,2009_001581,0,sofa,404,1,300,1
2719,2009_003396,0,aeroplane,500,1,271,105
2722,2008_003926,0,aeroplane,489,1,224,51
2729,2009_000674,0,sofa,331,1,500,102
2730,2009_000674,1,person,331,38,500,63
2735,2008_003067,2,person,186,149,369,325
2746,2009_004406,1,person,357,336,209,176
2748,2009_004406,3,person,100,66,235,203
2755,2011_001489,0,aeroplane,196,148,210,195
2756,2008_003729,0,aeroplane,455,46,201,54
2762,2008_007229,0,aeroplane,439,10,239,95
2763,2008_007229,1,aeroplane,494,384,199,146
2769,2011_005189,0,person,302,213,435,127
2772,2011_004283,1,person,364,348,197,156
2795,2011_000608,2,sofa,500,223,375,239
2797,2010_000260,0,aeroplane,500,1,375,28
2815,2009_001387,0,aeroplane,479,1,235,66
2816,2010_004748,0,aeroplane,344,156,256,64
2817,2011_002751,0,aeroplane,499,1,271,1
2819,2010_003027,0,sofa,156,1,296,171
2820,2008_004697,3,sofa,437,1,377,84
2821,2011_000146,0,sofa,499,2,375,28
2826,2012_001929,0,person,472,75,375,5
2828,2011_002745,1,person,415,180,375,202
2834,2008_000383,3,person,261,173,375,107
2842,2010_001142,5,person,371,315,220,103
2844,2010_001142,7,person,216,156,260,180
2848,2011_000634,1,sofa,500,1,375,1
2850,2011_000807,0,aeroplane,204,49,134,83
2855,2008_006719,1,sofa,500,260,375,239
2862,2012_002213,0,person,339,202,177,54
2896,2009_001422,0,bird,282,63,472,37
2905,2011_000185,0,bird,500,21,375,16
2909,2009_001344,0,aeroplane,477,63,244,87
2912,2010_004953,0,bird,327,181,298,43
2936,2011_006709,1,person,381,318,194,31
2937,2011_001066,0,sofa,126,1,375,9
2945,2008_002966,1,person,164,107,178,19
2947,2008_002966,3,person,211,169,119,39
2956,2008_002966,12,person,330,316,108,90
2959,2009_001807,0,bird,334,1,500,85
2960,2007_008543,1,sofa,131,2,372,213
2961,2007_008543,2,sofa,461,232,375,299
2962,2010_004210,3,person,264,245,136,109
2965,2011_003103,2,sofa,82,1,296,200
2981,2010_006375,0,person,201,132,283,121
2985,2009_003962,0,bird,260,1,500,64
2986,2008_008287,0,bird,226,113,338,168
3012,2007_000645,0,bird,500,135,374,46
3013,2007_000645,1,bird,365,124,375,146
3025,2008_007836,0,aeroplane,287,231,215,147
3026,2010_004238,0,aeroplane,444,78,180,68
3027,2010_004238,1,aeroplane,100,27,154,106
3030,2011_002221,0,bird,306,142,270,1
3031,2011_002221,1,bird,94,14,372,319
3033,2010_005898,2,sofa,500,1,302,1
3034,2008_007188,0,bird,299,244,246,134
3036,2010_001426,0,aeroplane,480,28,234,47
3037,2011_006721,0,person,369,220,412,78
3043,2008_005774,0,bird,338,268,121,50
3044,2008_005774,1,bird,260,194,144,85
3052,2012_001518,6,person,24,1,230,84
3061,2008_003463,3,person,354,113,332,84
3069,2008_004318,6,sofa,373,1,375,186
3070,2009_001608,6,sofa,274,1,500,360
3072,2008_008522,0,sofa,405,1,347,111
3075,2012_000174,0,person,478,386,306,122
3076,2008_006269,0,aeroplane,230,43,315,238
3077,2008_006269,1,aeroplane,313,131,211,140
3078,2008_006269,2,aeroplane,207,31,186,116
3087,2009_001146,0,sofa,470,33,291,94
3091,2009_003751,3,person,500,315,333,32
3104,2009_004980,0,aeroplane,492,23,222,66
3116,2007_004392,4,person,334,180,375,110
3124,2010_005683,0,aeroplane,414,7,374,99
3125,2010_005683,1,aeroplane,84,7,165,133
3126,2008_008278,0,aeroplane,500,1,299,64
3127,2008_008278,1,aeroplane,500,1,194,8
3128,2008_008278,2,aeroplane,163,74,192,167
3129,2008_008278,3,aeroplane,91,1,191,164
3136,2011_001932,1,sofa,320,167,229,147
3138,2009_001635,2,person,282,56,428,23
3145,2012_001531,0,person,370,146,500,1
3150,2010_000922,1,sofa,430,1,401,134
3157,2011_000392,0,bird,500,33,375,15
3158,2008_002026,0,sofa,500,314,375,269
3160,2011_000386,0,sofa,375,1,500,320
3161,2008_004457,7,person,500,485,242,202
3169,2008_004457,15,person,400,284,362,185
3170,2008_004457,16,person,204,120,329,197
3187,2012_003454,0,person,249,1,500,109
3190,2008_008523,0,bird,447,1,375,40
3211,2012_002010,0,person,226,141,309,125
3213,2009_002314,0,aeroplane,375,69,242,57
3214,2008_003462,0,bird,484,330,162,70
3215,2008_003462,1,bird,164,23,143,47
3218,2009_004765,0,bird,261,82,365,37
3219,2009_004765,1,bird,470,187,282,177
3220,2012_003468,0,person,231,165,318,171
3221,2009_000503,0,bird,235,126,265,112
3227,2008_007604,0,aeroplane,333,1,494,25
3228,2008_008537,0,bird,281,214,240,172
3229,2010_003556,0,sofa,500,327,331,123
3230,2010_003556,1,sofa,328,1,401,108
3231,2010_003556,2,person,342,191,287,1
3238,2008_007837,0,sofa,500,16,375,166
3239,2008_007837,1,person,269,122,375,119
3249,2009_001190,0,sofa,500,1,375,145
3256,2011_002552,0,aeroplane,461,1,319,1
3258,2010_001433,0,bird,257,221,217,193
3259,2010_001433,1,bird,50,15,226,183
3260,2010_001433,2,bird,69,30,291,248
3261,2010_001433,3,bird,190,161,244,204
3264,2012_002789,0,person,376,256,344,119
3266,2011_002234,1,person,493,213,333,96
3281,2011_003664,0,person,220,37,447,211
3285,2011_001073,0,aeroplane,356,113,228,60
3286,2011_000379,1,sofa,500,34,297,1
3291,2008_008292,0,bird,252,79,500,65
3294,2010_006406,1,person,370,161,500,123
3295,2009_005137,0,bird,415,248,283,70
3297,2009_003546,0,aeroplane,488,14,199,92
